symbol,window_index,p99_upper,p95_upper,p90_upper,placebo_mean,p90_lower,p95_lower,p99_lower,n,actual_median_abs_price_change
DFII10,-15,0,0,0,0,0,0,0,5000,0
DFII10,-14,0.06000000000000005,0.05500000000000005,0.05000000000000004,0.035390000000000005,0.02000000000000001,0.02000000000000001,0.01500000000000012,5000,0.025000000000000015
DFII10,-13,0.09000000000000008,0.07999999999999996,0.07499999999999973,0.050282999999999994,0.03000000000000002,0.0299999999999998,0.02000000000000001,5000,0.04000000000000003
DFII10,-12,0.10999999999999988,0.09000000000000008,0.08499999999999996,0.05919000000000001,0.04000000000000003,0.03499999999999992,0.024974999999999803,5000,0.04000000000000003
DFII10,-11,0.1200000000000001,0.11,0.10000000000000007,0.06936400000000001,0.04500000000000004,0.04000000000000003,0.03000000000000025,5000,0.04000000000000003
DFII10,-10,0.13000000000000012,0.1200000000000001,0.115,0.07939700000000002,0.04974999999999992,0.04000000000000003,0.03000000000000002,5000,0.05000000000000004
DFII10,-9,0.1499999999999999,0.13,0.1200000000000001,0.08396800000000001,0.04999999999999993,0.04499999999999982,0.03000000000000025,5000,0.04999999999999993
DFII10,-8,0.15999999999999992,0.14,0.13,0.08823200000000003,0.05500000000000005,0.05000000000000004,0.03999999999999992,5000,0.08000000000000007
DFII10,-7,0.1600250000000007,0.14500000000000002,0.13000000000000012,0.09638500000000001,0.06000000000000005,0.05499999999999994,0.04000000000000003,5000,0.10000000000000007
DFII10,-6,0.17999999999999994,0.15999999999999992,0.15000000000000013,0.10462300000000001,0.06474999999999984,0.05999999999999983,0.04999999999999982,5000,0.07999999999999996
DFII10,-5,0.18000000000000016,0.15999999999999992,0.15000000000000013,0.11073200000000001,0.06999999999999984,0.06000000000000005,0.05000000000000004,5000,0.08999999999999997
DFII10,-4,0.19999999999999996,0.17000000000000015,0.1649999999999998,0.11652200000000001,0.07000000000000006,0.06000000000000005,0.05000000000000004,5000,0.11999999999999988
DFII10,-3,0.20000000000000015,0.18499999999999991,0.17525000000000115,0.12348500000000001,0.07000000000000017,0.06000000000000005,0.05500000000000005,5000,0.12499999999999989
DFII10,-2,0.20999999999999996,0.19499999999999995,0.18499999999999991,0.12882000000000002,0.08000000000000007,0.07000000000000006,0.05999999999999994,5000,0.11499999999999988
DFII10,-1,0.2250000000000001,0.20000000000000015,0.19000000000000017,0.13395,0.08499999999999996,0.07999999999999963,0.06000000000000005,5000,0.13500000000000012
DFII10,0,0.2350000000000001,0.20500000000000007,0.19499999999999995,0.140868,0.08999999999999997,0.08000000000000007,0.07000000000000006,5000,0.1399999999999999
DFII10,1,0.24,0.21499999999999997,0.20000000000000015,0.150374,0.09499999999999996,0.08500000000000008,0.07000000000000006,5000,0.1449999999999999
DFII10,2,0.2499999999999999,0.22512499999999827,0.21999999999999997,0.15431,0.09999999999999998,0.09000000000000008,0.08000000000000007,5000,0.15000000000000002
DFII10,3,0.27,0.24,0.225,0.15909700000000002,0.09999999999999988,0.08999999999999986,0.07000000000000017,5000,0.14000000000000012
DFII10,4,0.2799999999999999,0.25,0.23499999999999988,0.16254300000000002,0.10000000000000007,0.09000000000000008,0.08000000000000007,5000,0.1449999999999999
DFII10,5,0.28500000000000003,0.2601249999999984,0.2499999999999999,0.168236,0.10000000000000007,0.09000000000000008,0.07000000000000006,5000,0.13500000000000023
DFII10,6,0.30000000000000004,0.28,0.2500000000000002,0.170745,0.10999999999999988,0.09999999999999998,0.08000000000000007,5000,0.17999999999999994
DFII10,7,0.30999999999999983,0.27,0.2500000000000002,0.171238,0.10499999999999989,0.09499999999999986,0.07999999999999985,5000,0.16500000000000026
DFII10,8,0.32000000000000006,0.27,0.255,0.175141,0.10999999999999988,0.09999999999999988,0.08000000000000007,5000,0.20000000000000007
DFII10,9,0.31499999999999995,0.28,0.2699999999999999,0.182448,0.1100000000000001,0.09999999999999988,0.08000000000000007,5000,0.17500000000000004
DFII10,10,0.3200250000000006,0.29500000000000004,0.2799999999999998,0.191045,0.12,0.1100000000000001,0.08500000000000019,5000,0.21499999999999997
DFII10,11,0.32500000000000007,0.29500000000000004,0.28,0.199111,0.13000000000000012,0.1200000000000001,0.09000000000000008,5000,0.21999999999999997
DFII10,12,0.32999999999999996,0.29499999999999993,0.2799999999999999,0.206348,0.13500000000000012,0.1200000000000001,0.09000000000000008,5000,0.19000000000000017
DFII10,13,0.32999999999999985,0.2999999999999998,0.28000000000000014,0.21090599999999998,0.14,0.12500000000000022,0.10499999999999998,5000,0.20999999999999996
DFII10,14,0.33000000000000007,0.30499999999999994,0.29000000000000004,0.215311,0.14500000000000024,0.13487499999999994,0.1049750000000001,5000,0.20500000000000007
DFII10,15,0.3400000000000001,0.30000000000000004,0.29499999999999993,0.221767,0.1499999999999999,0.1349999999999999,0.10000000000000007,5000,0.19999999999999996
DFII20,-15,0,0,0,0,0,0,0,5000,0
DFII20,-14,0.05500000000000016,0.05000000000000004,0.04999999999999993,0.033158999999999994,0.02000000000000001,0.02000000000000001,0.01000000000000023,5000,0.02999999999999991
DFII20,-13,0.07999999999999996,0.06999999999999995,0.06999999999999984,0.04537900000000002,0.0299999999999998,0.02000000000000001,0.02000000000000001,5000,0.04500000000000003
DFII20,-12,0.09499999999999986,0.08499999999999996,0.08000000000000007,0.05408699999999999,0.03000000000000002,0.0299999999999998,0.02000000000000001,5000,0.035000000000000024
DFII20,-11,0.1100000000000001,0.09999999999999988,0.09000000000000008,0.061741000000000004,0.04000000000000003,0.03500000000000003,0.0299999999999998,5000,0.04000000000000003
DFII20,-10,0.1200000000000001,0.10999999999999988,0.10000000000000007,0.069858,0.04000000000000003,0.03500000000000014,0.0299999999999998,5000,0.04000000000000003
DFII20,-9,0.1299999999999999,0.115,0.10999999999999988,0.076122,0.04500000000000004,0.04000000000000003,0.03000000000000025,5000,0.060000000000000164
DFII20,-8,0.14000000000000012,0.1299999999999999,0.11999999999999988,0.081063,0.05000000000000004,0.04499999999999993,0.03500000000000003,5000,0.06499999999999995
DFII20,-7,0.14002500000000068,0.1299999999999999,0.1200000000000001,0.089334,0.05500000000000016,0.05000000000000004,0.04000000000000003,5000,0.10000000000000007
DFII20,-6,0.15502500000000066,0.14000000000000012,0.13000000000000012,0.09664,0.06000000000000005,0.05499999999999994,0.04000000000000003,5000,0.07499999999999996
DFII20,-5,0.16500000000000015,0.1499999999999999,0.1399999999999999,0.10156,0.06000000000000005,0.05999999999999983,0.04999999999999982,5000,0.08499999999999996
DFII20,-4,0.17999999999999994,0.16000000000000014,0.15000000000000036,0.106506,0.06499999999999995,0.06000000000000005,0.05000000000000004,5000,0.07999999999999974
DFII20,-3,0.17999999999999994,0.16500000000000004,0.1599999999999998,0.112004,0.06999999999999984,0.06000000000000005,0.04999999999999993,5000,0.125
DFII20,-2,0.18500000000000005,0.16999999999999993,0.16000000000000014,0.11345399999999999,0.07000000000000017,0.06499999999999995,0.04999999999999982,5000,0.11499999999999988
DFII20,-1,0.1950000000000001,0.17500000000000004,0.16500000000000004,0.117153,0.07499999999999984,0.06499999999999995,0.05000000000000026,5000,0.135
DFII20,0,0.20999999999999996,0.17999999999999983,0.16999999999999993,0.12223700000000001,0.07500000000000007,0.06999999999999983,0.05500000000000005,5000,0.12
DFII20,1,0.20999999999999996,0.18500000000000005,0.17499999999999993,0.12745199999999998,0.08000000000000007,0.07000000000000017,0.06000000000000005,5000,0.1499999999999999
DFII20,2,0.21499999999999997,0.19499999999999984,0.18000000000000016,0.132609,0.08500000000000019,0.07999999999999996,0.06499999999999995,5000,0.1449999999999999
DFII20,3,0.235,0.20000000000000007,0.18999999999999995,0.135915,0.08999999999999986,0.07999999999999996,0.06000000000000005,5000,0.15500000000000003
DFII20,4,0.24000000000000002,0.20999999999999996,0.19999999999999973,0.138531,0.09000000000000008,0.08000000000000007,0.06500000000000006,5000,0.1299999999999999
DFII20,5,0.24000000000000013,0.21499999999999997,0.20500000000000007,0.145256,0.09000000000000008,0.07999999999999996,0.06497499999999995,5000,0.11499999999999977
DFII20,6,0.2500000000000001,0.23,0.2100000000000002,0.148723,0.08999999999999986,0.08000000000000007,0.06000000000000005,5000,0.1499999999999999
DFII20,7,0.26000000000000023,0.23499999999999988,0.21999999999999983,0.14722000000000002,0.09000000000000008,0.08499999999999985,0.06000000000000005,5000,0.16500000000000004
DFII20,8,0.27,0.235,0.21999999999999997,0.151551,0.08999999999999997,0.08000000000000007,0.06500000000000006,5000,0.17999999999999983
DFII20,9,0.27,0.24,0.2200000000000002,0.158375,0.09999999999999998,0.09000000000000008,0.07000000000000028,5000,0.13000000000000012
DFII20,10,0.28000000000000014,0.245,0.23,0.16524899999999998,0.10499999999999998,0.09999999999999988,0.07000000000000028,5000,0.17000000000000015
DFII20,11,0.2799999999999999,0.25,0.2352500000000011,0.172562,0.1100000000000001,0.09999999999999988,0.08000000000000007,5000,0.17500000000000004
DFII20,12,0.28500000000000003,0.255,0.245,0.17604299999999998,0.10999999999999988,0.09499999999999996,0.07999999999999996,5000,0.17000000000000015
DFII20,13,0.28500000000000014,0.2600000000000001,0.25,0.17951999999999999,0.11000000000000032,0.10000000000000007,0.08000000000000007,5000,0.18499999999999994
DFII20,14,0.2950250000000008,0.27,0.255,0.18237,0.1100000000000001,0.0950000000000002,0.08000000000000007,5000,0.19499999999999995
DFII20,15,0.30000000000000004,0.275,0.2599999999999998,0.186856,0.115,0.10499999999999998,0.08999999999999986,5000,0.21999999999999986
DFII30,-15,0,0,0,0,0,0,0,5000,0
DFII30,-14,0.05500000000000005,0.05000000000000004,0.04500000000000004,0.03161400000000001,0.02000000000000001,0.02000000000000001,0.01000000000000023,5000,0.024999999999999904
DFII30,-13,0.07499999999999973,0.06999999999999984,0.06000000000000005,0.043658999999999996,0.0299999999999998,0.02000000000000001,0.02000000000000001,5000,0.04500000000000003
DFII30,-12,0.08999999999999986,0.08000000000000007,0.07500000000000007,0.051157000000000015,0.0299999999999998,0.02000000000000001,0.02000000000000001,5000,0.03000000000000002
DFII30,-11,0.10000000000000007,0.0900000000000003,0.08999999999999986,0.058426,0.03500000000000014,0.03000000000000013,0.0299999999999998,5000,0.04000000000000003
DFII30,-10,0.11999999999999988,0.09999999999999998,0.09000000000000008,0.06591499999999999,0.04000000000000003,0.03987499999999965,0.02500000000000013,5000,0.039999999999999813
DFII30,-9,0.1200000000000001,0.10999999999999988,0.10000000000000007,0.07209099999999999,0.04499999999999993,0.03999999999999981,0.03000000000000002,5000,0.06000000000000005
DFII30,-8,0.13,0.12,0.1100000000000001,0.07825599999999999,0.04999999999999982,0.04000000000000003,0.03000000000000002,5000,0.060000000000000164
DFII30,-7,0.1349999999999999,0.1200000000000001,0.11999999999999966,0.083357,0.05000000000000004,0.04499999999999993,0.03500000000000003,5000,0.1100000000000001
DFII30,-6,0.14500000000000002,0.13000000000000012,0.125,0.089784,0.05500000000000016,0.05000000000000004,0.04000000000000003,5000,0.06999999999999984
DFII30,-5,0.15000000000000013,0.1399999999999999,0.13000000000000012,0.095107,0.060000000000000046,0.05000000000000004,0.04000000000000003,5000,0.08000000000000007
DFII30,-4,0.1599999999999997,0.1449999999999998,0.1399999999999999,0.09914599999999998,0.06000000000000005,0.05999999999999972,0.04999999999999982,5000,0.07500000000000007
DFII30,-3,0.16500000000000015,0.1499999999999999,0.14000000000000012,0.10245299999999999,0.06000000000000005,0.05000000000000026,0.04000000000000003,5000,0.11499999999999999
DFII30,-2,0.17000000000000015,0.1599999999999997,0.1449999999999999,0.101254,0.06000000000000027,0.05500000000000005,0.04000000000000003,5000,0.10000000000000007
DFII30,-1,0.17499999999999982,0.15999999999999992,0.1499999999999999,0.104018,0.06499999999999995,0.06000000000000005,0.04999999999999982,5000,0.125
DFII30,0,0.18999999999999995,0.16500000000000004,0.15000000000000036,0.108995,0.06499999999999995,0.05500000000000016,0.04500000000000015,5000,0.1050000000000001
DFII30,1,0.19999999999999973,0.17999999999999972,0.16500000000000004,0.11092800000000001,0.06999999999999984,0.06000000000000005,0.05000000000000004,5000,0.15500000000000003
DFII30,2,0.19499999999999995,0.17999999999999972,0.16500000000000015,0.11601200000000002,0.07500000000000018,0.06999999999999995,0.05000000000000004,5000,0.1349999999999998
DFII30,3,0.21000000000000008,0.18499999999999991,0.17000000000000015,0.12115600000000001,0.07000000000000006,0.06499999999999995,0.05500000000000005,5000,0.13000000000000012
DFII30,4,0.2100000000000002,0.19999999999999973,0.18000000000000005,0.12418600000000002,0.08000000000000007,0.07000000000000006,0.06000000000000005,5000,0.10999999999999988
DFII30,5,0.21999999999999997,0.20000000000000007,0.19000000000000009,0.13006500000000001,0.07500000000000007,0.06999999999999984,0.05999999999999961,5000,0.0950000000000002
DFII30,6,0.2300000000000002,0.20000000000000015,0.19000000000000009,0.13388300000000003,0.07000000000000028,0.06999999999999984,0.05000000000000026,5000,0.1399999999999999
DFII30,7,0.23499999999999976,0.21499999999999997,0.19999999999999996,0.13320500000000002,0.08000000000000007,0.07500000000000007,0.06000000000000005,5000,0.16500000000000015
DFII30,8,0.24,0.2100000000000002,0.20000000000000015,0.13806600000000002,0.08000000000000007,0.06999999999999995,0.05499999999999994,5000,0.15000000000000013
DFII30,9,0.25,0.21512499999999837,0.20000000000000015,0.14370800000000003,0.08499999999999996,0.07499999999999984,0.06000000000000005,5000,0.125
DFII30,10,0.25,0.2200000000000002,0.20500000000000007,0.15002900000000002,0.09000000000000008,0.08000000000000007,0.06500000000000006,5000,0.14500000000000002
DFII30,11,0.25,0.23,0.21999999999999997,0.15591800000000003,0.09499999999999996,0.08500000000000019,0.07000000000000006,5000,0.14500000000000002
DFII30,12,0.26000000000000023,0.23999999999999988,0.2200000000000002,0.15903,0.09999999999999988,0.08999999999999986,0.06999999999999984,5000,0.1449999999999998
DFII30,13,0.27,0.2400000000000002,0.23,0.16066000000000003,0.09974999999999976,0.08999999999999986,0.06500000000000017,5000,0.16000000000000014
DFII30,14,0.2849999999999999,0.25,0.2300000000000002,0.162412,0.0900000000000003,0.08999999999999986,0.07000000000000006,5000,0.17000000000000015
DFII30,15,0.28,0.2500000000000002,0.2350000000000002,0.16714900000000002,0.10000000000000007,0.08999999999999986,0.06000000000000005,5000,0.19000000000000017
DFII5,-15,0,0,0,0,0,0,0,5000,0
DFII5,-14,0.06999999999999984,0.06000000000000005,0.05500000000000005,0.038114999999999996,0.02000000000000001,0.02000000000000001,0.019974999999999795,5000,0.024999999999999904
DFII5,-13,0.09999999999999988,0.08500000000000008,0.08000000000000007,0.054622000000000004,0.03000000000000002,0.03000000000000002,0.02499999999999991,5000,0.03499999999999991
DFII5,-12,0.115,0.10000000000000007,0.09500000000000008,0.06716600000000002,0.04000000000000003,0.03500000000000014,0.0299999999999998,5000,0.06500000000000006
DFII5,-11,0.14,0.12,0.1100000000000001,0.07861500000000002,0.05000000000000004,0.04000000000000003,0.04000000000000003,5000,0.05500000000000005
DFII5,-10,0.1449999999999999,0.13000000000000012,0.1250000000000001,0.08690800000000003,0.05499999999999994,0.05000000000000004,0.04000000000000003,5000,0.04499999999999993
DFII5,-9,0.15500000000000025,0.1399999999999999,0.13,0.09108400000000003,0.05000000000000004,0.04500000000000004,0.03999999999999981,5000,0.07999999999999996
DFII5,-8,0.17000000000000015,0.15999999999999992,0.1499999999999999,0.09647900000000002,0.05500000000000005,0.05000000000000004,0.039974999999999816,5000,0.08999999999999986
DFII5,-7,0.17999999999999994,0.15999999999999992,0.14500000000000002,0.10096500000000001,0.06000000000000005,0.05999999999999983,0.049974999999999825,5000,0.09499999999999997
DFII5,-6,0.19499999999999995,0.16999999999999993,0.15499999999999992,0.10459900000000003,0.06000000000000005,0.05499999999999994,0.04000000000000014,5000,0.08500000000000008
DFII5,-5,0.19999999999999984,0.17000000000000015,0.16000000000000014,0.11223000000000001,0.06999999999999984,0.06000000000000005,0.049974999999999825,5000,0.10499999999999998
DFII5,-4,0.2150250000000005,0.18999999999999995,0.17000000000000015,0.120099,0.07000000000000028,0.06500000000000006,0.05000000000000004,5000,0.13000000000000012
DFII5,-3,0.21999999999999997,0.19999999999999996,0.18999999999999972,0.127633,0.07500000000000007,0.06500000000000006,0.05497499999999995,5000,0.1299999999999999
DFII5,-2,0.23,0.20000000000000007,0.18999999999999995,0.135917,0.08500000000000008,0.07999999999999996,0.06000000000000005,5000,0.1050000000000001
DFII5,-1,0.23999999999999977,0.21499999999999997,0.20000000000000007,0.141594,0.09000000000000008,0.08000000000000007,0.06999999999999995,5000,0.14
DFII5,0,0.24499999999999988,0.21999999999999997,0.21000000000000008,0.14777,0.09000000000000008,0.08999999999999986,0.07000000000000028,5000,0.13500000000000012
DFII5,1,0.2599999999999998,0.23499999999999988,0.21999999999999983,0.158051,0.10000000000000007,0.09000000000000008,0.07999999999999996,5000,0.14000000000000012
DFII5,2,0.27,0.24,0.23,0.164954,0.1050000000000001,0.09500000000000008,0.07500000000000007,5000,0.125
DFII5,3,0.27000000000000013,0.25,0.235,0.17200800000000002,0.10999999999999988,0.10000000000000007,0.08499999999999996,5000,0.15000000000000002
DFII5,4,0.28500000000000003,0.2599999999999999,0.24,0.173691,0.115,0.10000000000000007,0.08499999999999996,5000,0.14500000000000002
DFII5,5,0.29999999999999993,0.2699999999999998,0.25,0.178982,0.1100000000000001,0.09999999999999998,0.07497499999999985,5000,0.135
DFII5,6,0.30499999999999994,0.2749999999999999,0.26,0.183664,0.10000000000000007,0.0900000000000003,0.07497499999999996,5000,0.20500000000000007
DFII5,7,0.30000000000000004,0.28,0.2649999999999999,0.18476,0.10499999999999998,0.09000000000000008,0.07999999999999985,5000,0.19499999999999984
DFII5,8,0.32000000000000006,0.28500000000000003,0.27,0.18576,0.10499999999999998,0.09000000000000008,0.07000000000000006,5000,0.18000000000000005
DFII5,9,0.32999999999999985,0.29000000000000004,0.275,0.193254,0.10999999999999988,0.09999999999999988,0.08000000000000007,5000,0.18499999999999994
DFII5,10,0.33000000000000007,0.30000000000000004,0.28000000000000025,0.20225100000000001,0.12499999999999988,0.1100000000000001,0.09000000000000008,5000,0.2350000000000001
DFII5,11,0.33000000000000007,0.30000000000000027,0.29000000000000004,0.21057,0.135,0.1200000000000001,0.09497499999999987,5000,0.245
DFII5,12,0.33999999999999986,0.31000000000000005,0.29500000000000004,0.218975,0.1399999999999999,0.125,0.09000000000000008,5000,0.2150000000000002
DFII5,13,0.34999999999999987,0.31499999999999995,0.29999999999999993,0.22367700000000001,0.14500000000000002,0.1299999999999999,0.08999999999999997,5000,0.24
DFII5,14,0.35502500000000065,0.31999999999999995,0.30000000000000016,0.227514,0.14000000000000012,0.125,0.0950000000000002,5000,0.22499999999999998
DFII5,15,0.3599999999999999,0.32000000000000006,0.31000000000000005,0.22928600000000002,0.14500000000000002,0.13000000000000012,0.10000000000000007,5000,0.20000000000000007
DGS1,-15,0,0,0,0,0,0,0,5000,0
DGS1,-14,0.04999999999999982,0.04000000000000003,0.04000000000000003,0.02635500000000003,0.01000000000000067,0.00999999999999978,0.00999999999999978,5000,0.02000000000000046
DGS1,-13,0.0699999999999994,0.05999999999999961,0.05499999999999971,0.035412000000000006,0.02000000000000001,0.01999999999999957,0.01000000000000067,5000,0.04000000000000003
DGS1,-12,0.08499999999999996,0.07000000000000028,0.0699999999999994,0.04280900000000002,0.02500000000000035,0.02000000000000046,0.01999999999999957,5000,0.04999999999999982
DGS1,-11,0.10500000000000044,0.08999999999999986,0.08000000000000007,0.052044999999999994,0.03000000000000025,0.02500000000000035,0.02000000000000046,5000,0.03000000000000025
DGS1,-10,0.11000000000000032,0.09999999999999964,0.08999999999999986,0.05925800000000001,0.03000000000000025,0.0299999999999998,0.02000000000000046,5000,0.05000000000000071
DGS1,-9,0.12002500000000065,0.10999999999999945,0.09999999999999964,0.06565500000000002,0.03500000000000014,0.03000000000000025,0.02499999999999991,5000,0.03500000000000014
DGS1,-8,0.13999999999999968,0.1200000000000001,0.10999999999999988,0.068161,0.04000000000000003,0.03500000000000014,0.0299999999999998,5000,0.04999999999999982
DGS1,-7,0.13999999999999968,0.1200000000000001,0.11000000000000032,0.07256800000000002,0.04000000000000003,0.04000000000000003,0.03000000000000025,5000,0.04499999999999993
DGS1,-6,0.15000000000000036,0.1299999999999999,0.1200000000000001,0.078182,0.04499999999999993,0.04000000000000003,0.03000000000000025,5000,0.05500000000000016
DGS1,-5,0.16999999999999948,0.13999999999999968,0.1299999999999999,0.08357700000000001,0.04999999999999982,0.04000000000000003,0.03500000000000014,5000,0.08499999999999996
DGS1,-4,0.1749999999999994,0.15000000000000036,0.14000000000000057,0.087396,0.04999999999999982,0.04000000000000003,0.03500000000000014,5000,0.0950000000000002
DGS1,-3,0.20000000000000015,0.16999999999999993,0.15000000000000036,0.09234600000000003,0.04999999999999982,0.04000000000000003,0.03000000000000025,5000,0.10999999999999945
DGS1,-2,0.20999999999999996,0.17999999999999972,0.16500000000000004,0.09832000000000003,0.05499999999999971,0.04999999999999982,0.04000000000000003,5000,0.12499999999999956
DGS1,-1,0.2299999999999995,0.1900000000000004,0.17500000000000027,0.10819300000000003,0.05999999999999961,0.04999999999999982,0.04000000000000003,5000,0.125
DGS1,0,0.24502500000000066,0.20999999999999996,0.1900000000000004,0.11132900000000005,0.05000000000000026,0.04999999999999982,0.04000000000000003,5000,0.14499999999999957
DGS1,1,0.2599999999999998,0.23,0.20499999999999963,0.11580700000000003,0.05999999999999961,0.05000000000000026,0.04000000000000003,5000,0.125
